target,year,coverage_value,coverage_type,coverage_area
World,2015,94.9,Population covered by a mobile-cellular network (%),Total
Low-income,2015,80.7,Population covered by a mobile-cellular network (%),Total
Lower-middle-income,2015,94.4,Population covered by a mobile-cellular network (%),Total
Upper-middle-income,2015,96.7,Population covered by a mobile-cellular network (%),Total
High-income,2015,98.5,Population covered by a mobile-cellular network (%),Total
Least Developed Countries (LDCs),2015,86.9,Population covered by a mobile-cellular network (%),Total
Land Locked Developing Countries (LLDCs),2015,88.7,Population covered by a mobile-cellular network (%),Total
Small Island Developing States (SIDS),2015,89.8,Population covered by a mobile-cellular network (%),Total
Africa,2015,86.9,Population covered by a mobile-cellular network (%),Total
Americas,2015,95.8,Population covered by a mobile-cellular network (%),Total
Arab States,2015,94.7,Population covered by a mobile-cellular network (%),Total
Asia-Pacific,2015,96,Population covered by a mobile-cellular network (%),Total
CIS,2015,91.1,Population covered by a mobile-cellular network (%),Total
Europe,2015,99.5,Population covered by a mobile-cellular network (%),Total
World,2016,95.5,Population covered by a mobile-cellular network (%),Total
Low-income,2016,83.1,Population covered by a mobile-cellular network (%),Total
Lower-middle-income,2016,95.1,Population covered by a mobile-cellular network (%),Total
Upper-middle-income,2016,97.1,Population covered by a mobile-cellular network (%),Total
High-income,2016,98.6,Population covered by a mobile-cellular network (%),Total
Least Developed Countries (LDCs),2016,88.4,Population covered by a mobile-cellular network (%),Total
Land Locked Developing Countries (LLDCs),2016,92.0,Population covered by a mobile-cellular network (%),Total
Small Island Developing States (SIDS),2016,89.9,Population covered by a mobile-cellular network (%),Total
Africa,2016,88.1,Population covered by a mobile-cellular network (%),Total
Americas,2016,96.1,Population covered by a mobile-cellular network (%),Total
Arab States,2016,95.6,Population covered by a mobile-cellular network (%),Total
Asia-Pacific,2016,96.5,Population covered by a mobile-cellular network (%),Total
CIS,2016,92.9,Population covered by a mobile-cellular network (%),Total
Europe,2016,99.6,Population covered by a mobile-cellular network (%),Total
World,2017,96.2,Population covered by a mobile-cellular network (%),Total
Low-income,2017,83.4,Population covered by a mobile-cellular network (%),Total
Lower-middle-income,2017,95.8,Population covered by a mobile-cellular network (%),Total
Upper-middle-income,2017,98.3,Population covered by a mobile-cellular network (%),Total
High-income,2017,98.7,Population covered by a mobile-cellular network (%),Total
Least Developed Countries (LDCs),2017,88.2,Population covered by a mobile-cellular network (%),Total
Land Locked Developing Countries (LLDCs),2017,91.8,Population covered by a mobile-cellular network (%),Total
Small Island Developing States (SIDS),2017,90.5,Population covered by a mobile-cellular network (%),Total
Africa,2017,88.1,Population covered by a mobile-cellular network (%),Total
Americas,2017,96.6,Population covered by a mobile-cellular network (%),Total
Arab States,2017,96.4,Population covered by a mobile-cellular network (%),Total
Asia-Pacific,2017,97.6,Population covered by a mobile-cellular network (%),Total
CIS,2017,93.5,Population covered by a mobile-cellular network (%),Total
Europe,2017,99.7,Population covered by a mobile-cellular network (%),Total
World,2018,96.5,Population covered by a mobile-cellular network (%),Total
Low-income,2018,85.1,Population covered by a mobile-cellular network (%),Total
Lower-middle-income,2018,95.8,Population covered by a mobile-cellular network (%),Total
Upper-middle-income,2018,98.6,Population covered by a mobile-cellular network (%),Total
High-income,2018,98.8,Population covered by a mobile-cellular network (%),Total
Least Developed Countries (LDCs),2018,89.1,Population covered by a mobile-cellular network (%),Total
Land Locked Developing Countries (LLDCs),2018,93.4,Population covered by a mobile-cellular network (%),Total
Small Island Developing States (SIDS),2018,90.6,Population covered by a mobile-cellular network (%),Total
Africa,2018,88.9,Population covered by a mobile-cellular network (%),Total
Americas,2018,96.7,Population covered by a mobile-cellular network (%),Total
Arab States,2018,96.6,Population covered by a mobile-cellular network (%),Total
Asia-Pacific,2018,97.9,Population covered by a mobile-cellular network (%),Total
CIS,2018,93.6,Population covered by a mobile-cellular network (%),Total
Europe,2018,99.7,Population covered by a mobile-cellular network (%),Total
World,2019,96.9,Population covered by a mobile-cellular network (%),Total
Low-income,2019,85.8,Population covered by a mobile-cellular network (%),Total
Lower-middle-income,2019,96.6,Population covered by a mobile-cellular network (%),Total
Upper-middle-income,2019,98.4,Population covered by a mobile-cellular network (%),Total
High-income,2019,99.6,Population covered by a mobile-cellular network (%),Total
Least Developed Countries (LDCs),2019,89.7,Population covered by a mobile-cellular network (%),Total
Land Locked Developing Countries (LLDCs),2019,93.9,Population covered by a mobile-cellular network (%),Total
Small Island Developing States (SIDS),2019,90.8,Population covered by a mobile-cellular network (%),Total
Africa,2019,88.7,Population covered by a mobile-cellular network (%),Total
Americas,2019,96.0,Population covered by a mobile-cellular network (%),Total
Arab States,2019,96.8,Population covered by a mobile-cellular network (%),Total
Asia-Pacific,2019,98.6,Population covered by a mobile-cellular network (%),Total
CIS,2019,98.6,Population covered by a mobile-cellular network (%),Total
Europe,2019,99.6,Population covered by a mobile-cellular network (%),Total
World,2020,97.0,Population covered by a mobile-cellular network (%),Total
Low-income,2020,88.0,Population covered by a mobile-cellular network (%),Total
Lower-middle-income,2020,96.6,Population covered by a mobile-cellular network (%),Total
Upper-middle-income,2020,98.3,Population covered by a mobile-cellular network (%),Total
High-income,2020,99.7,Population covered by a mobile-cellular network (%),Total
Least Developed Countries (LDCs),2020,90.8,Population covered by a mobile-cellular network (%),Total
Land Locked Developing Countries (LLDCs),2020,93.7,Population covered by a mobile-cellular network (%),Total
Small Island Developing States (SIDS),2020,90.9,Population covered by a mobile-cellular network (%),Total
Africa,2020,90.2,Population covered by a mobile-cellular network (%),Total
Americas,2020,95.9,Population covered by a mobile-cellular network (%),Total
Arab States,2020,96.5,Population covered by a mobile-cellular network (%),Total
Asia-Pacific,2020,98.5,Population covered by a mobile-cellular network (%),Total
CIS,2020,98.6,Population covered by a mobile-cellular network (%),Total
Europe,2020,99.8,Population covered by a mobile-cellular network (%),Total
World,2021,97.3,Population covered by a mobile-cellular network (%),Total
Low-income,2021,89.1,Population covered by a mobile-cellular network (%),Total
